EventID,EventDate,Tier,EventClass,Pilot,LoginID,Place,Deck,LeaguePoints,SwissRank,SwissPoints,OMWP,GWP,OGWP
12851608,2026-08-15,modern-rc-super-qualifier,Premier,TrueHero,2569009,1,Jeskai Energy,10,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,_Chamytinho_,3175692,2,4c HollowOne,8,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Prim3Time,3017502,3,Mono-Black Midrange,6,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Vrym,1760512,4,Prowess,6,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,bestdraveneu,3569566,5,Prowess,4,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Rvng,649380,6,Goryo's Vengeance,4,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Gerschi,1084298,7,WBRG Cosmogoyf,4,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Iaashadow,2712707,8,Broodscale Combo,4,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Ghost11157,2690892,9,Dimir Midrange,2,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,JPA93,1181017,10,Grixis Reanimator,2,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Venom01,3535587,11,Dimir Midrange,2,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Croco-polarbear,3279774,12,Boros Energy,2,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Watchwolf92,574591,13,Esper Blink,2,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,DawsonCreep,2865556,14,Grixis Reanimator,2,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,surgetemelo,3473231,15,Goryo's Vengeance,2,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,FranBenitez91,319589,16,Goryo's Vengeance,2,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,McWinSauce,803141,17,Esper Blink,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,GWT,3544040,18,Azorius Control,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Ryan_39,2085661,19,Goryo's Vengeance,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,roter_Erzengel,319713,20,Broodscale Combo,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Kollslaw,3311758,21,Goryo's Vengeance,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,RGNKPheonix20,1995507,22,Esper Blink,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Durrrr89,882132,23,Neobrand,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Tranzmaster,2947160,24,Belcher,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,morris,1198783,25,Simic Ritual,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Diomed_Tidid,3415205,26,Land Destruction,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,LordEgg,964394,27,Broodscale Combo,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,PerkyT,3142768,28,Prowess,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,toondoslav,1712831,29,Esper Blink,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,yriel,2537131,30,Esper Blink,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,slade8283,1229112,31,Eldrazi Tron,0,,,,,
12851608,2026-08-15,modern-rc-super-qualifier,Premier,Aced5,10594,32,Boros Energy,0,,,,,
