Deck,Source Deck Names,Suggested Archetype
5c Legends,5c Legends,
Boros Convoke,Boros Convoke,
Hidden Strings,Hidden Strings,
Izzet Phoenix,Izzet Phoenix,
Niv to Light,Niv to Light,
Orzhov Greasefang,Orzhov Greasefang,
Selesnya Angels,Selesnya Angels,
Selesnya Company,Selesnya Company,
UB,UB,
UR,UR,
WR,WR,
WUBR,WUBR,
