EventDate,IngestedAt,EventID,EventName,EventType,Format,Season,LoginID,Name,Placement,PointsAwarded
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,1630278,bbotonline,17,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,1700365,Tetsubou,18,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,676549,Alakai,19,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,3220713,DskBayWolf,20,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,1942357,nahuel10,21,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,856754,swff,22,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,3555118,WhiteNinja,23,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,3477626,Serosocram,24,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,2045661,Nangurus,25,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,3161999,Shadow_Scar,26,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,1938267,Moniz0801,27,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,3129850,Rock889,28,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,3105602,UltraEgo_,29,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,3315179,chagu,30,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,2658587,EthanBird,31,0
2026-09-01,2026-09-03T08:28:55Z,12853220,Modern Challenge 16,challenge,modern,Autumn 2026,1490004,Moaddin1186,32,0
2026-09-01,2026-09-03T08:28:55Z,12853226,Modern Challenge 64,challenge,modern,Autumn 2026,1113267,yunk3r,1,5
2026-09-01,2026-09-03T08:28:55Z,12853226,Modern Challenge 64,challenge,modern,Autumn 2026,2708393,Latorretta,2,4
2026-09-01,2026-09-03T08:28:55Z,12853226,Modern Challenge 64,challenge,modern,Autumn 2026,2768190,BowBloBiw,3,3
2026-09-01,2026-09-03T08:28:55Z,12853226,Modern Challenge 64,challenge,modern,Autumn 2026,3364560,Craig_Long123,4,3
2026-09-01,2026-09-03T08:28:55Z,12853226,Modern Challenge 64,challenge,modern,Autumn 2026,2185747,KingHairy,5,2
2026-09-01,2026-09-03T08:28:55Z,12853226,Modern Challenge 64,challenge,modern,Autumn 2026,2042214,Selfeisek,6,2
2026-09-01,2026-09-03T08:28:55Z,12853226,Modern Challenge 64,challenge,modern,Autumn 2026,2153835,bkubit,7,2
2026-09-01,2026-09-03T08:28:55Z,12853226,Modern Challenge 64,challenge,modern,Autumn 2026,1059076,claudio0907,8,2
2026-09-01,2026-09-03T08:28:55Z,12853226,Modern Challenge 64,challenge,modern,Autumn 2026,443982,echecetmat35,9,1
2026-09-01,2026-09-03T08:28:55Z,12853226,Modern Challenge 64,challenge,modern,Autumn 2026,1778823,Beekeeper,10,1
2026-09-01,2026-09-03T08:28:55Z,12853226,Modern Challenge 64,challenge,modern,Autumn 2026,2682446,NyGames,11,1
2026-09-01,2026-09-03T08:28:55Z,12853226,Modern Challenge 64,challenge,modern,Autumn 2026,3161045,SlankyPotato,12,1
