Deck,Source Deck Names,Meta,Winrate,Winrate Game Count,Archetype,My Deck Winrate,My Deck Winrate Game Count
Boros Energy,Boros Energy,20.43,0.5264,1209,Aggro,0.5622,208
Rogue,Asmo Food | Azorius Control | Azorius GenericBlink | BR | BRG | Bogles | Boros Midrange | Eldrazi | Generic Ragavan | Hollow One | Indomitable Creativity | Jeskai Energy | Jund Saga | Mardu GenericBlink | Mill | Miracles | Mono-Red Artifact Reanimation | Mono-Red Burn | Orzhov GenericBlink | Orzhov Midrange | RG | Sam Combo | Simic Midrange | Temur Midrange | Temur Scapeshift | The Rock | UB | UBR | UBRG | URG | W | WBR | WR | WU | WURG | Rogue,9.290000000000001,0.4511960172228201,664,Rogue,0.53677055393586,115
Eldrazi Tron,Eldrazi Tron,7.58,0.514,518,Ramp,0.4775,97
Ruby Storm,Ruby Storm,7.25,0.5042,494,Combo,0.5122,105
Jeskai Blink,Jeskai Blink,6.75,0.5376,465,Blink,0.3333,81
Affinity,Affinity,5.77,0.501,398,Aggro,0.5111,77
Prowess,Izzet Prowess | Izzet Steel-Cutter | Temur Prowess,5.109999999999999,0.5108084148727985,399,Aggro,0.49372592592592596,162
Neobrand,Neobrand,3.62,0.4372999999999999,236,Combo,0.5714,36
Amulet Titan,Amulet Titan,3.29,0.5167,240,Combo,0.4359,33
Belcher,Belcher,3.29,0.5193,245,Combo,0.6667000000000001,17
Dimir Midrange,Dimir Midrange,2.97,0.43139999999999995,212,Midrange,0.3889,47
Living End,Living End,2.97,0.5259,221,Graveyard,0.45698301886792453,53
Domain Zoo,Domain Zoo,2.97,0.4366,180,Midrange,0.5,0
Esper Blink,Esper GenericBlink,2.8,0.5255,203,Blink,0.37040000000000006,21
Goryo's Vengeance,Goryo's Vengeance,2.64,0.46969999999999995,165,Graveyard,0.41670000000000007,31
Grixis Midrange,Grixis Midrange,2.31,0.5238,190,Midrange,0.5185,22
Sultai Ritual,Sultai Midrange,1.98,0.5025999999999999,162,Midrange,0.38889999999999997,29
Eldrazi Ramp,Eldrazi Ramp,1.81,0.49329999999999996,128,Ramp,0.3667,25
Grixis Reanimator,Grixis Reanimator,1.32,0.4133,65,Graveyard,0.4286,19
Yawgmoth,Yawgmoth,0.99,0.4722,58,Combo,0.5556,22
Mono-Green Basking Broodscale Combo,Mono-Green Basking Broodscale Combo,0.99,0.49329999999999996,64,Combo,0.0,4
Gruul Basking Broodscale Combo,Gruul Basking Broodscale Combo,0.99,0.5221999999999999,81,Combo,0.5,6
Through the Breach,Through the Breach,0.82,0.5238,73,Unknown,0.6667000000000001,3
Death's Shadow,Death's Shadow,0.66,0.31670000000000004,48,Unknown,0.6667000000000001,3
Jeskai Control,Jeskai Control,0.66,0.3968,53,Control,0.1111,7
UR,UR,0.66,0.5362,61,Unknown,0.3333,3
