EventID,EventDate,Tier,EventClass,Round,WinnerPilot,WinnerLoginID,LoserPilot,LoserLoginID,WinnerGames,LoserGames,WinnerDeck,LoserDeck
12853730,2026-09-02,C32,Challenge,QF,azax,2199282,bruno_bto,1412491,2,0,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW
12853730,2026-09-02,C32,Challenge,QF,rastaf,254536,Xsper,3056706,2,1,Esper Blink,NEEDS_MANUAL_REVIEW
12853730,2026-09-02,C32,Challenge,QF,Misplacedginger,736792,Cachorrowo,2720911,2,1,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW
12853730,2026-09-02,C32,Challenge,QF,ipadkid,3560747,Mapletreefrog,1557079,2,0,NEEDS_MANUAL_REVIEW,Esper Blink
12853730,2026-09-02,C32,Challenge,SF,azax,2199282,rastaf,254536,2,0,NEEDS_MANUAL_REVIEW,Esper Blink
12853730,2026-09-02,C32,Challenge,SF,ipadkid,3560747,Misplacedginger,736792,2,0,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW
12853730,2026-09-02,C32,Challenge,F,ipadkid,3560747,azax,2199282,2,0,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW
